Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;01/mar;CPA;Mis;Dis;Rec;PrgR;Matches
693;Stênio Toledo;br BRA;FW,MF;Cruzeiro;19;2003;3.2;169;4;21;56;96;17;169;14;4;28.6;9;64.3;120;856;322;13;5;6;11;10;125;44;Matches
694;Uendel;br BRA;DF;Cuiabá;34;1988;4.0;170;14;43;75;55;1;170;3;0;0.0;3;100.0;76;320;212;6;3;0;2;1;97;10;Matches
695;Júnior Urso;br BRA;MF;Coritiba;33;1989;3.3;160;5;29;106;27;6;160;11;5;45.5;2;18.2;101;485;237;4;4;2;5;5;118;4;Matches
696;Bruno Uvini;br BRA;DF;Grêmio;31;1991;16.1;683;101;298;342;44;24;683;1;1;100.0;0;0.0;287;1148;550;3;3;0;4;1;329;1;Matches
697;Enner Valencia;ec ECU;FW;Internacional;33;1989;16.0;492;14;25;185;288;102;490;59;16;27.1;35;59.3;336;2176;996;44;26;32;55;29;394;147;Matches
698;Vanderlan;br BRA;DF;Palmeiras;20;2002;10.1;472;26;156;179;143;17;472;23;12;52.2;9;39.1;216;1166;549;20;11;6;8;8;246;61;Matches
699;Rodrigo Varanda;br BRA;FW,MF;América (MG);20;2003;5.7;277;5;41;132;114;25;277;29;14;48.3;11;37.9;170;1352;607;18;15;6;23;13;186;40;Matches
700;Guillermo Varela;uy URU;DF;Flamengo;29;1993;2.6;170;7;35;92;44;1;170;3;2;66.7;1;33.3;109;526;272;6;9;0;1;0;122;14;Matches
701;Eduardo Vargas;cl CHI;FW;Atlético Mineiro;33;1989;5.2;197;2;13;102;86;18;197;10;7;70.0;2;20.0;131;792;280;6;5;1;13;9;156;25;Matches
702;Pablo Vegetti;ar ARG;FW;Vasco da Gama;34;1988;19.9;579;39;67;276;238;110;577;13;6;46.2;7;53.8;261;992;255;10;2;3;41;22;413;70;Matches
703;Raphael Veiga;br BRA;MF;Palmeiras;27;1995;27.3;1472;20;114;676;702;55;1470;64;30;46.9;27;42.2;833;5119;2680;80;72;9;36;22;983;121;Matches
704;Fausto Vera;ar ARG;MF;Corinthians;22;2000;15.3;1002;48;300;598;114;8;1002;20;10;50.0;8;40.0;603;3053;1538;15;17;1;16;16;701;16;Matches
705;Patrick Verhon;br BRA;FW;Bahia;18;2004;0.0;1;0;1;0;0;0;1;0;0;;0;;0;0;0;0;0;0;0;0;0;0;Matches
706;Lucas Veríssimo;br BRA;DF;Corinthians;27;1995;14.5;934;145;488;411;36;23;934;4;2;50.0;2;50.0;525;2459;1328;4;2;0;6;0;634;3;Matches
707;Bruno Viana;br BRA;DF;Coritiba;27;1995;9.0;515;72;260;245;10;3;515;1;1;100.0;0;0.0;274;1311;707;4;3;0;1;0;312;1;Matches
708;Marcos Victor;br BRA;DF;Bahia;21;2001;0.1;12;0;3;4;5;0;12;0;0;;0;;8;50;21;0;2;0;1;0;7;0;Matches
709;Paulo Victor;br BRA;DF;Vasco da Gama;21;2001;0.1;2;0;2;0;0;0;2;0;0;;0;;0;0;0;0;0;0;0;0;0;0;Matches
710;Arturo Vidal;cl CHI;MF;Ath Paranaense;35;1987;4.2;218;3;40;118;61;7;218;4;1;25.0;3;75.0;115;394;110;1;4;0;5;8;147;18;Matches
711;Arturo Vidal;cl CHI;MF,DF;Flamengo;35;1987;2.8;231;8;39;118;75;8;231;1;0;0.0;1;100.0;130;403;206;2;2;0;2;3;189;12;Matches
712;Felipe Vieira;;DF;Fluminense;;;2.3;129;14;49;53;27;3;129;2;1;50.0;1;50.0;59;243;117;3;1;0;1;0;77;3;Matches
713;Luan Vieira;br BRA;FW,MF;Grêmio;29;1993;0.6;57;1;3;33;21;0;57;3;3;100.0;0;0.0;32;126;55;0;1;0;3;1;43;1;Matches
714;Gustavo Vilar;br BRA;DF;Coritiba;22;2000;1.0;64;4;28;35;1;0;64;0;0;;0;;35;123;47;0;0;0;0;0;46;0;Matches
715;Pedro Vilhena;br BRA;FW;São Paulo;20;2002;0.2;19;0;2;3;14;1;19;2;1;50.0;1;50.0;13;121;78;4;2;1;0;1;15;2;Matches
716;Mathías Villasanti;py PAR;MF;Grêmio;26;1997;29.4;1717;84;359;1056;326;25;1717;52;21;40.4;26;50.0;913;4245;2022;32;32;7;39;19;1004;32;Matches
717;Marcos Vinicios Sorriso;br BRA;FW,DF;Bragantino;21;2001;10.4;637;7;67;232;349;35;637;43;18;41.9;18;41.9;362;2392;1159;40;30;7;40;25;415;128;Matches
718;Vinicius;br BRA;MF;Santos;23;1999;0.3;7;0;1;5;1;0;7;0;0;;0;;6;12;4;0;0;0;1;1;6;0;Matches
719;Vinícius;br BRA;FW;Goiás;29;1993;13.0;650;17;96;239;327;41;650;42;24;57.1;17;40.5;385;2656;1369;39;34;12;22;10;464;123;Matches
720;Vinícius;br BRA;FW;Grêmio;31;1991;7.3;411;4;38;245;131;14;411;10;7;70.0;2;20.0;265;1057;529;11;9;2;15;5;330;39;Matches
721;Marcos Vinicius;br BRA;DF,MF;Coritiba;25;1997;1.9;105;9;45;45;17;0;105;4;3;75.0;1;25.0;40;209;114;3;1;0;1;1;39;2;Matches
722;Mateus Vital;br BRA;MF;Cruzeiro;24;1998;20.9;1125;16;136;553;457;46;1125;72;36;50.0;31;43.1;706;4570;2097;55;46;10;47;36;819;126;Matches
723;Vitão;br BRA;DF;Internacional;22;2000;22.7;1292;152;532;721;45;19;1292;8;7;87.5;0;0.0;776;3962;2450;13;10;0;6;2;876;4;Matches
724;Vitão;br BRA;DF;Cuiabá;22;2000;0.1;2;2;2;0;0;0;2;0;0;;0;;0;0;0;0;0;0;0;0;0;0;Matches
725;Vitinho;br BRA;FW,MF;Bragantino;23;1999;22.8;1194;18;95;405;708;102;1194;84;32;38.1;39;46.4;774;4448;2314;76;67;36;54;46;857;244;Matches
726;José Vitor;br BRA;DF;Vasco da Gama;20;2002;1.2;74;17;38;30;6;1;74;0;0;;0;;48;247;92;0;0;0;0;0;56;2;Matches
727;Paulo Vitor;br BRA;MF,DF;Cruzeiro;23;1999;1.4;91;3;12;40;40;1;91;4;1;25.0;3;75.0;76;498;150;2;2;0;2;2;72;19;Matches
728;Paulo Vitor;br BRA;MF;Atlético Mineiro;18;2004;0.2;19;0;7;11;1;0;19;0;0;;0;;11;29;11;0;0;0;1;0;18;0;Matches
729;Rayan Vitor;br BRA;FW,MF;Vasco da Gama;16;2006;2.9;118;3;7;48;64;20;118;11;5;45.5;6;54.5;79;381;193;5;7;3;5;4;92;18;Matches
730;Vladimir;br BRA;GK;Santos;33;1989;2.3;57;53;57;0;0;0;57;0;0;;0;;34;127;70;0;0;0;0;0;17;0;Matches
731;Walter;br BRA;GK;Cuiabá;35;1987;35.0;979;864;977;2;0;0;979;0;0;;0;;474;2960;2227;0;0;0;0;0;320;0;Matches
