Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;01/mar;CPA;Mis;Dis;Rec;PrgR;Matches
27;André;br BRA;DF;Bahia;19;2003;1.4;93;4;22;43;30;1;93;5;4;80.0;1;20.0;52;252;129;2;3;0;3;1;53;12;Matches
28;André;br BRA;MF,DF;Fluminense;21;2001;29.4;2745;268;946;1589;231;3;2745;62;38;61.3;16;25.8;1966;9737;5852;58;54;1;34;15;2179;14;Matches
29;Maurício Antônio;br BRA;DF;Coritiba;30;1992;2.0;130;29;77;49;4;2;130;0;0;;0;;68;261;125;0;0;0;3;0;73;0;Matches
30;Apodi;br BRA;FW,MF;Goiás;36;1986;4.2;99;8;23;33;43;9;99;4;2;50.0;2;50.0;49;277;147;6;3;2;9;0;57;16;Matches
31;Guilherme Arana;br BRA;DF;Atlético Mineiro;25;1997;26.5;1962;82;521;893;562;27;1962;31;12;38.7;16;51.6;1077;5445;3104;56;43;5;25;13;1289;122;Matches
32;Charles Aránguiz;cl CHI;MF;Internacional;33;1989;14.1;1073;27;176;707;194;14;1073;10;7;70.0;0;0.0;598;2160;866;6;12;1;20;10;787;28;Matches
33;João Araújo;br BRA;MF;Grêmio;17;2005;0.1;8;0;1;5;3;0;8;2;0;0.0;2;100.0;5;14;3;0;0;0;0;0;5;0;Matches
34;Luiz Araújo;br BRA;FW,MF;Flamengo;26;1996;8.7;513;12;59;195;271;44;513;46;25;54.3;21;45.7;345;2094;1009;29;23;9;19;9;376;112;Matches
35;Matheus Araújo;br BRA;MF,FW;Corinthians;20;2002;6.5;396;11;78;190;134;20;396;16;9;56.3;4;25.0;244;1157;588;18;13;6;14;7;279;43;Matches
36;Michel Araujo;uy URU;FW,MF;São Paulo;26;1996;19.6;1249;26;197;613;462;61;1249;110;63;57.3;40;36.4;786;5025;2564;71;51;15;48;35;923;157;Matches
37;Robert Arboleda;ec ECU;DF;São Paulo;31;1991;19.1;1423;199;781;611;34;27;1423;3;3;100.0;0;0.0;811;3211;1722;2;1;0;6;1;1019;5;Matches
38;Jhon Arias;co COL;FW,MF;Fluminense;25;1997;26.5;1915;41;288;694;963;105;1913;154;80;51.9;50;32.5;1309;8068;4364;142;87;27;54;60;1423;300;Matches
39;Luciano Arriagada;cl CHI;FW,MF;Ath Paranaense;20;2002;2.1;79;2;8;36;36;6;79;3;2;66.7;0;0.0;49;235;99;5;0;1;10;8;59;12;Matches
40;Arthur;br BRA;FW,MF;Cruzeiro;24;1998;15.0;598;7;84;222;305;48;598;69;27;39.1;37;53.6;410;3428;1622;66;47;21;34;18;460;112;Matches
41;Arthur;br BRA;DF;América (MG);19;2003;1.0;67;3;16;33;20;0;67;3;2;66.7;1;33.3;36;227;116;5;4;0;4;1;36;4;Matches
42;Arthur;br BRA;DF,FW;Fluminense;18;2004;0.2;24;1;6;9;9;1;24;1;0;0.0;1;100.0;15;49;16;0;2;0;1;0;17;2;Matches
43;Artur;br BRA;FW;Palmeiras;24;1998;21.1;1037;13;106;410;537;90;1037;60;35;58.3;23;38.3;671;4387;2391;85;57;23;52;18;792;218;Matches
44;Eduard Atuesta;co COL;MF;Palmeiras;25;1997;0.1;2;0;0;2;0;0;2;0;0;;0;;1;10;9;0;0;0;0;0;2;0;Matches
45;Felipe Augusto;br BRA;FW,MF;Corinthians;18;2004;3.6;107;5;15;57;40;14;107;10;3;30.0;4;40.0;54;315;126;4;6;1;11;9;66;15;Matches
46;Filipe Augusto;br BRA;MF;Cuiabá;29;1993;11.8;929;45;213;594;124;3;929;26;17;65.4;5;19.2;492;2721;1198;9;17;0;17;19;656;16;Matches
47;Renato Augusto;br BRA;MF;Corinthians;34;1988;14.2;881;13;79;467;341;22;881;34;20;58.8;11;32.4;545;2757;1258;38;21;7;21;12;689;98;Matches
48;Danilo Avelar;br BRA;DF;América (MG);33;1989;22.0;1128;102;432;530;174;56;1127;11;3;27.3;8;72.7;495;2414;1349;11;10;0;14;2;617;42;Matches
49;Felipe Azevedo;br BRA;FW,MF;América (MG);36;1987;19.4;738;20;128;272;358;66;738;67;26;38.8;37;55.2;441;2637;1187;31;39;13;47;31;509;121;Matches
50;Matheus Babi;br BRA;FW;Goiás;25;1997;9.8;298;11;30;150;120;42;298;14;6;42.9;8;57.1;141;601;154;2;7;0;24;18;208;39;Matches
51;Matheus Bahia;br BRA;DF,MF;Bahia;23;1999;5.5;354;11;98;155;103;8;354;10;4;40.0;5;50.0;176;914;547;15;6;2;17;0;184;21;Matches
52;Fabián Balbuena;py PAR;DF;Corinthians;31;1991;1.0;70;10;48;22;1;1;70;0;0;;0;;29;172;113;0;0;0;0;0;47;0;Matches
53;Robson Bambu;br BRA;DF;Vasco da Gama;25;1997;14.2;858;115;394;402;67;9;858;17;7;41.2;9;52.9;486;2649;1397;5;6;0;15;13;523;13;Matches
54;Gabriel Baralhas;br BRA;MF;Internacional;24;1998;2.6;170;10;40;119;15;1;170;1;0;0.0;1;100.0;92;461;196;3;4;0;0;0;102;5;Matches
55;Danilo Barbosa;br BRA;MF,DF;Botafogo (RJ);26;1996;11.2;610;52;183;362;72;12;610;24;13;54.2;6;25.0;318;1588;758;14;7;2;12;17;362;7;Matches
56;Diogo Barbosa;br BRA;DF;Fluminense;30;1992;12.4;818;43;216;369;241;10;818;27;14;51.9;11;40.7;485;2424;1251;35;27;3;12;6;538;68;Matches
57;Diogo Barbosa;br BRA;DF;Grêmio;30;1992;4.3;267;18;70;131;70;5;267;21;7;33.3;12;57.1;119;715;352;8;10;2;7;3;140;19;Matches
58;Gabriel Barbosa;br BRA;FW;Flamengo;26;1996;17.1;633;0;25;261;350;60;628;14;5;35.7;8;57.1;356;1842;894;26;26;4;17;8;485;112;Matches
59;Lucas Barbosa;br BRA;FW,MF;Santos;21;2001;1.1;70;4;24;38;12;1;70;4;2;50.0;2;50.0;33;180;90;4;3;0;2;2;31;4;Matches
60;Lucas Barbosa;br BRA;MF,FW;Coritiba;21;2001;1.1;76;5;9;34;34;3;76;5;1;20.0;3;60.0;43;133;43;1;3;0;4;1;47;10;Matches
61;Chrystian Barletta;br BRA;MF;Corinthians;21;2001;1.4;;;;;;;;;;;;;;;;;;;;;;;Matches
62;Cauan Barros;br BRA;MF;Vasco da Gama;18;2004;2.6;118;7;27;72;19;7;118;0;0;;0;;56;246;109;0;1;0;1;4;70;4;Matches
63;Gabriel Barros;br BRA;FW,MF;Internacional;21;2001;2.0;101;1;12;55;35;9;101;8;2;25.0;5;62.5;62;422;107;4;3;2;8;1;74;12;Matches
64;Bastos;ao ANG;DF;Botafogo (RJ);31;1991;1.3;84;7;35;44;5;1;84;0;0;;0;;33;129;87;0;0;0;0;0;58;0;Matches
65;Fellipe Bastos;br BRA;MF;Goiás;32;1990;0.4;16;0;9;6;2;0;16;0;0;;0;;4;18;7;1;0;0;0;0;8;1;Matches
66;Diogo Batista;br BRA;DF,MF;Coritiba;19;2003;5.9;354;23;123;169;66;6;354;10;3;30.0;5;50.0;181;813;497;8;7;2;10;5;197;13;Matches
67;Rodrigo Battaglia;ar ARG;MF;Atlético Mineiro;31;1991;19.2;1124;33;197;778;165;19;1124;23;16;69.6;6;26.1;719;4095;2229;38;33;2;14;13;785;27;Matches
68;José Luis Rodríguez Bebanz;uy URU;DF;Vasco da Gama;25;1997;22.2;1452;88;438;596;441;51;1452;40;17;42.5;21;52.5;683;3506;2130;56;42;7;23;9;741;95;Matches
69;Matheus Belém;br BRA;DF;São Paulo;19;2003;1.9;102;15;59;40;3;1;102;0;0;;0;;54;226;129;1;2;0;4;0;66;0;Matches
70;Lucas Belezi;br BRA;DF;Ath Paranaense;19;2003;0.5;25;3;9;14;2;1;25;0;0;;0;;14;41;26;0;0;0;0;0;16;0;Matches
71;Ramiro Benetti;br BRA;MF;Cruzeiro;29;1993;4.5;283;2;36;178;75;7;283;6;3;50.0;2;33.3;150;570;279;4;4;1;7;1;193;13;Matches
72;Martín Benítez;ar ARG;MF,FW;América (MG);28;1994;12.4;696;2;64;378;268;23;696;70;35;50.0;28;40.0;427;2283;1175;26;17;5;14;26;492;56;Matches
73;Bento;br BRA;GK;Ath Paranaense;23;1999;33.0;952;861;951;1;0;0;952;0;0;;0;;443;2440;1530;0;0;0;0;0;316;0;Matches
74;Lucas Beraldo;br BRA;DF;São Paulo;19;2003;24.0;1908;200;804;1055;59;17;1908;4;0;0.0;0;0.0;1228;6041;3870;16;10;0;8;5;1402;3;Matches
75;Lucas Besozzi;ar ARG;FW,MF;Grêmio;20;2003;4.4;252;3;29;94;134;18;252;23;8;34.8;14;60.9;164;1281;705;30;21;10;10;7;181;47;Matches
76;Matheus Bianqui;br BRA;MF;Coritiba;25;1998;15.8;686;52;191;369;135;30;686;15;7;46.7;6;40.0;327;1114;466;10;6;3;24;14;362;41;Matches
77;Raul Bicalho;br BRA;DF;Bahia;23;1999;3.6;233;22;106;116;12;5;233;0;0;;0;;155;1051;684;7;6;0;4;0;168;2;Matches
78;Matheus Bidu;br BRA;DF;Corinthians;23;1999;18.4;1356;88;396;601;375;16;1356;36;13;36.1;17;47.2;738;4062;2383;58;31;2;24;9;773;100;Matches
79;Biel;br BRA;FW,MF;Bahia;21;2001;15.1;627;6;65;208;366;75;627;69;24;34.8;38;55.1;439;2811;1484;51;48;13;56;13;462;117;Matches
80;Rafael Bilu;br BRA;FW;Cruzeiro;23;1999;1.0;57;0;5;21;34;7;57;8;5;62.5;2;25.0;37;219;132;5;3;3;5;0;36;8;Matches
81;Guilherme Biro;br BRA;FW,MF;Corinthians;18;2004;6.4;291;3;43;137;118;13;291;25;10;40.0;12;48.0;194;1185;589;18;13;4;10;4;212;44;Matches
82;Bitelo;br BRA;MF,FW;Grêmio;23;2000;17.2;1049;22;138;506;420;64;1049;46;21;45.7;19;41.3;669;3131;1611;39;35;10;49;28;759;132;Matches
83;Paulinho Bóia;br BRA;FW;América (MG);24;1998;1.5;69;2;7;33;33;4;69;8;5;62.5;2;25.0;44;347;133;4;5;3;4;4;45;12;Matches
84;Thiago Borbas;uy URU;FW;Bragantino;20;2002;15.9;541;6;19;179;347;92;541;26;13;50.0;9;34.6;321;1215;317;12;9;4;53;24;412;119;Matches
