,instance_index,receiver_polygon_area,transmitter_polygon_area,adversary_domain_pass_count,alpha_angle,avg_distance_receiver_adversary_boundaries,avg_distance_transmitter_adversary_boundaries,min_distance_transmitter_adversary_boundaries,min_distance_receiver_adversary_boundaries,adversary_friend_area_ratio,adversary_friend_area_ratio_reduced
3015,3070,91.53800226712846,511.5587677331712,0,147.89413975345082,15.755857594100634,34.338242602626366,11.480299090970492,0.0,0.0,0.0
3016,3071,425.77552849107946,320.08376979832195,0,111.15724242173772,22.660969180484365,15.909363067987277,0.0,0.0,0.06675388277026877,0.0
3017,3072,406.4152658727859,647.3692125875868,0,63.43206778653958,32.05242560792542,22.38226899864888,0.0,0.0,0.0,0.0
3018,3073,440.5683213674674,730.3175042902384,1,58.33085878816854,22.284888752833922,31.2761025331321,0.0,0.0,0.4246867862681113,0.4734901075134084
3019,3074,668.2855266549732,1129.1744753376147,1,99.78450601434935,27.172563683913435,24.35975168538161,0.0,0.0,0.12287224667890152,0.0
3020,3075,695.5036238608998,695.1323116998655,0,123.64973874235986,32.406622075788775,28.108790799143993,0.0,0.0,0.0,0.0
3021,3076,581.9630532369869,480.7972895871716,3,50.14585923519865,16.531641648031176,31.246170872385683,0.0,3.5599347341783636,0.3957995579984178,0.32474973752777214
3022,3077,207.93185912159666,75.2369543205647,0,73.8754055441645,23.283287534971358,37.667673759066254,0.0,0.0,0.006976907865446707,0.0
3023,3078,51.97612315291196,186.58958744076781,0,95.09435944105564,36.28741419434579,22.009330592854525,0.0,0.0,0.04099791575554077,0.0
3024,3079,141.88989216096425,643.7931738713173,1,87.3103117744059,26.35600903828224,37.059438126342776,0.0,0.0,0.1947484007440753,0.16686071170198497
3025,3080,624.3563589163468,669.9494095408979,0,78.70190486474452,31.545688660091276,23.499404895705215,0.0,0.0,0.0,0.0
3026,3081,618.0262605848874,413.3518083936645,1,82.45298733410242,33.623309826890775,35.22217904317845,0.0,0.0,0.2744633048700622,0.13726425879186793
3027,3082,197.80672687546007,42.46757487764822,1,53.94690585830799,33.76412667988091,29.351704471743982,0.0,0.0,0.6683516785171986,0.7649078494324055
3028,3083,125.94914286881797,694.2455445732884,1,79.74960476422629,31.117090692928176,31.225415332207326,0.0,0.0,0.14615103053861397,0.11608723897327958
3029,3084,652.8494121355392,657.7068602989996,1,70.34047240796359,22.526949011318806,32.788249159144435,0.0,0.0,0.3003311244099518,0.23167139143122661
3030,3085,503.5426696195865,105.32555248175927,1,19.33388535422155,38.090765475561184,24.831813064139116,0.0,0.0,0.45542946152991237,0.3593360449143493
3031,3086,49.40259055150868,86.60679897716587,1,84.96647538422391,8.808826842796416,7.7333329430522495,0.0,6.711243286708394,0.45968000385796964,0.5261698556549633
3032,3087,17.826500276800665,143.71447282102562,2,53.804207634339676,8.892689757574706,13.026846010002526,0.0,0.0,0.51857895075088,0.5755344248506356
3033,3088,91.66932610199052,581.0388348546253,1,74.62950554204801,14.141848054902006,33.77533274876338,0.0,0.0,0.2508078413544496,0.15821838726042317
3034,3089,54.04058372684234,39.341813183914546,1,36.12762426803492,14.700706884594547,18.14618672377725,6.584723472373559,0.0,0.3861487644097571,0.31267676880751855
3035,3090,30.178972742845463,50.11772290113238,1,64.47152894733162,18.10133947559515,14.317248031432555,0.0,4.983792694305215,0.4090947499094061,0.4250066470277604
3036,3091,44.12161517456909,99.53819205671391,3,30.967736912561747,10.775045939387548,18.305218677056835,4.227692536563266,0.0,0.7984217393010359,0.7628738989472071
3037,3092,348.4891925588696,310.7128763074977,3,23.526747390931202,28.890904363041283,31.997059612982827,0.0,0.0,0.6527081307377175,0.6132899074944163
3038,3093,12.071811915291837,52.91247954486835,1,51.5954882956092,14.368470807604568,26.4018926863266,3.7237811206381135,0.0,0.8759741599964436,0.8236061912748821
3039,3094,103.84834825275408,31.85557649139536,1,37.55675615130384,31.227172939168373,31.777670730838288,0.0,0.0,0.44482037675062863,0.423440889833307
3040,3095,31.231024143436223,47.58551630608603,1,101.6748580405684,30.139025279589575,30.566933492765134,0.0,0.0,0.7876325027320166,0.8599115604169291
3041,3096,20.375799591791147,288.51767386565024,1,73.13456922516272,16.82425142365543,20.7428019123712,0.0,5.013613055346549,0.10032930308744309,0.0887511777364693
3042,3097,233.83950945015647,349.18987957864897,4,22.175748658599073,10.33504279298262,15.71526369864267,7.797061969428832,4.685688433939997,0.43058390317258805,0.3135839132993522
3043,3098,79.52615017234862,226.49590643310842,2,64.12195159068553,33.726092362267835,32.47922861193537,0.0,0.0,0.5764930861605768,0.6852898814676167
3044,3099,311.9112333546249,465.60855460710377,0,108.92631002385977,27.734841384132167,31.064732404643156,0.0,0.0,0.14261401863695747,0.0
3045,3100,376.90882159898615,503.9876663741395,0,59.22298987083359,21.865993071452937,26.254908413587035,0.0,4.454719902625585,0.04866340859266771,0.0
3046,3101,366.24287242050104,165.88942646661383,1,58.48790006261353,16.079193757956208,18.859287088497346,0.05766173819614478,5.072280182683538,0.8501869837367574,0.8810371118203647
3047,3102,92.17570354250631,329.34984819810506,0,71.61735032366622,21.109347474433456,14.711419951685576,0.0,0.0,0.09352775930922913,0.0
3048,3103,256.04095342945266,282.0998733249986,0,77.56652619535872,25.082940480104824,20.360751619812145,0.0,0.0,0.06682134990849443,0.0
3049,3104,251.62760151040757,381.1713634751942,3,22.237401337228718,32.80417484301296,25.745647508525177,0.0,3.2917552145221234,0.5461873858079674,0.4965371078640104
3050,3105,76.58577292126716,416.6038891030959,0,54.68064569020301,25.737071965810717,21.472921238994022,0.0,0.0,0.14465946607023036,0.009971975071244296
3051,3106,418.86258125484727,388.26373598820817,0,67.10134666770958,30.81486581742193,22.24921785250439,0.0,9.580286106405111,0.0011487928602192878,0.0
3052,3107,296.21530741652697,531.8766455348918,1,88.0971286934104,29.553763112140892,31.24154354483827,0.0,0.0,0.1591755139695787,0.007167209759791535
3053,3108,216.04000365793283,118.99971000005834,2,28.911369276118634,28.14070728999511,29.07929495630651,0.0,0.0,0.6470386825386256,0.6112305902619387
3054,3109,331.81505023274326,348.75815761846377,0,132.05720742910523,11.30221087915875,42.77768090989171,30.849800053315928,1.811809779855826,0.008769136808277872,0.0
3055,3110,336.4791843540333,432.47674943546633,1,99.41104667081018,38.82970957062519,10.920757305182953,4.052368740674111,29.008990132123632,0.09408574116339305,0.003765136417974173
